Age,Income,Credit_Score,Loan_Amount,Loan_Tenure_Years,Employment_Years,Num_Credit_Accounts,Num_Defaults_Past,Monthly_Debt_Payment,Marital_Status,Education,Default
78,195798,805,39636,26,30,7,1,1461,Divorced,PhD,0
61,141141,314,216169,21,15,5,4,3318,Single,High School,1
42,196372,491,184352,2,29,8,4,666,Married,High School,1
66,37677,784,291406,4,15,9,2,2176,Divorced,PhD,1
44,70609,327,347579,2,11,5,2,3743,Divorced,PhD,1
76,46024,338,198283,15,16,5,2,600,Single,High School,1
59,85313,572,453058,2,15,2,1,2652,Single,Bachelor,1
45,142813,530,395727,4,11,5,1,4422,Divorced,Bachelor,0
77,199078,385,455195,6,7,3,4,3824,Single,PhD,1
33,110285,773,250596,7,19,7,2,3906,Married,Master,0
32,161410,425,479686,10,2,5,1,979,Single,Bachelor,1
79,128632,836,436413,19,15,8,0,2451,Married,PhD,0
79,165580,444,308988,19,29,1,4,628,Married,Bachelor,1
64,18051,824,331898,26,22,3,3,1629,Married,Master,1
79,194819,511,432373,22,27,3,4,3696,Married,PhD,0
68,129692,324,344273,29,39,9,3,3430,Married,Master,1
61,102235,693,307186,12,4,5,2,3674,Single,PhD,1
72,178165,366,66665,3,19,9,3,3929,Married,Master,1
69,185806,532,251584,13,39,9,2,2765,Single,Bachelor,0
74,88523,408,121953,18,0,1,0,4369,Married,Bachelor,1
20,109476,445,481072,8,29,2,3,4780,Divorced,Master,1
54,32019,410,163448,21,20,5,4,115,Married,Master,1
68,98613,527,191626,15,19,4,2,4956,Divorced,Master,1
24,101672,410,150271,1,5,9,4,2003,Married,PhD,1
38,88847,769,123533,3,21,7,1,692,Married,Bachelor,0
26,97750,333,479628,26,17,6,2,3162,Married,PhD,1
56,43251,668,449164,8,7,7,3,1105,Divorced,Bachelor,1
35,118481,724,78781,4,38,1,2,3008,Divorced,High School,0
21,127566,817,470966,16,31,1,4,2161,Married,PhD,1
42,40945,581,71262,23,32,8,0,153,Single,Bachelor,0
77,105852,619,313744,10,15,2,2,3699,Married,Bachelor,0
31,47217,742,81898,12,11,9,3,4410,Divorced,PhD,1
67,23308,614,460699,14,37,7,1,3786,Married,PhD,1
75,20949,676,154369,14,33,6,0,1064,Divorced,Bachelor,1
26,198062,588,35448,2,13,1,1,4200,Divorced,PhD,0
43,147222,736,293316,23,35,1,2,1913,Divorced,Master,0
70,115235,576,441090,5,32,2,4,1216,Married,PhD,1
19,89740,802,12657,5,22,6,4,2401,Divorced,PhD,1
37,131352,815,482602,6,1,6,3,1772,Divorced,PhD,1
45,81617,649,261689,13,20,2,4,1960,Married,Bachelor,1
64,31896,745,423641,9,1,1,0,2780,Divorced,Master,1
77,145798,649,424901,22,26,5,4,4804,Married,High School,0
24,192247,436,379999,28,8,5,3,4746,Divorced,High School,1
61,153877,542,422794,29,0,2,2,2871,Single,Master,1
78,20237,842,164903,15,10,6,2,660,Single,Master,1
25,35056,339,12906,14,2,9,4,2635,Divorced,Master,1
64,191615,528,328557,24,22,2,1,2329,Single,Bachelor,0
52,129548,847,59028,7,25,2,2,3954,Married,High School,0
31,126488,522,274431,25,3,3,4,2450,Single,Master,1
34,149415,305,300804,20,17,7,3,1132,Divorced,Bachelor,1
53,159572,621,473974,2,5,6,4,699,Divorced,High School,1
67,199294,767,327648,7,34,8,2,2038,Married,PhD,0
57,44375,374,195792,6,21,8,3,4647,Divorced,Bachelor,1
21,155734,303,107979,17,14,6,4,4500,Married,High School,1
19,31964,417,39701,27,21,3,0,4557,Single,Bachelor,1
79,128429,803,88300,25,36,3,3,2179,Single,High School,0
23,82215,740,246249,25,11,1,0,2838,Married,High School,0
71,84042,493,153746,28,37,7,1,873,Married,PhD,1
59,159356,691,88560,2,17,5,3,83,Divorced,Bachelor,1
21,108468,325,247615,3,34,4,0,1422,Single,Master,1
71,24435,734,422090,5,29,4,2,2675,Married,PhD,1
46,190150,472,48642,5,23,4,2,3180,Single,PhD,1
35,93832,599,496036,1,29,6,1,4316,Married,High School,1
43,66293,625,332304,8,13,8,3,3975,Single,Master,1
61,93781,709,284746,12,5,8,3,1391,Divorced,Bachelor,1
51,175196,417,370464,24,2,5,3,3218,Single,Master,1
27,58919,524,93801,4,15,6,1,4207,Single,Master,1
79,181319,831,293075,13,6,4,3,614,Single,Master,0
53,136172,412,99377,23,13,9,2,2971,Single,Master,1
31,109758,439,296336,15,8,8,0,3565,Single,Master,1
48,71573,300,313686,11,14,1,2,3576,Divorced,High School,1
65,74101,389,394159,10,20,2,2,4570,Married,High School,1
32,41646,619,309664,3,34,9,0,270,Single,PhD,0
25,119185,849,331916,22,1,8,2,4066,Divorced,High School,1
31,38049,438,456978,14,26,3,1,2468,Single,PhD,1
40,113116,810,317250,16,1,8,0,1390,Single,PhD,0
77,112379,558,86121,10,34,1,2,3354,Married,Bachelor,1
74,83385,309,30559,29,17,4,4,4135,Single,Master,1
79,141131,560,372739,10,13,3,2,3607,Divorced,High School,0
57,186230,471,38742,12,19,6,1,2583,Divorced,Bachelor,1
38,38289,312,336813,9,17,7,3,4073,Married,High School,1
33,125226,467,478415,1,9,4,2,3075,Single,PhD,1
62,115793,620,157826,5,24,7,3,3906,Divorced,High School,0
35,24823,618,140044,20,1,9,4,289,Single,Master,1
64,56975,628,337975,8,24,2,2,2480,Single,PhD,1
70,24540,849,117217,11,32,3,0,3252,Single,PhD,1
41,31364,718,46873,12,35,5,3,278,Married,Bachelor,0
43,150683,394,492877,1,30,3,4,2924,Single,Master,1
42,42663,617,373676,25,13,8,0,580,Divorced,PhD,0
77,66991,535,393411,22,0,8,0,4958,Single,Master,1
77,119182,633,408119,20,15,8,0,253,Divorced,High School,0
77,177049,675,139092,28,2,9,0,4276,Single,Master,0
62,109704,758,308899,25,34,4,2,4776,Divorced,PhD,1
58,64115,436,353100,11,5,5,2,824,Divorced,Bachelor,1
46,106007,846,91988,5,24,5,2,3832,Single,PhD,1
32,164143,812,50648,15,12,8,4,699,Single,Master,0
62,26938,595,130991,5,33,7,4,1380,Divorced,Master,1
18,181267,619,407732,12,7,9,4,3896,Married,PhD,1
42,106680,648,382149,5,20,8,1,1673,Single,Master,1
24,19000,528,7396,17,33,2,4,2727,Married,High School,1
26,116042,569,89082,17,3,4,2,3156,Single,PhD,0
41,108610,590,417345,24,24,6,2,3388,Single,Bachelor,1
18,118691,464,133322,12,14,2,1,4307,Single,PhD,1
61,53304,304,137663,24,3,7,1,383,Single,High School,1
25,84449,678,16303,28,11,3,4,341,Married,High School,0
41,97986,377,166633,15,31,3,3,1987,Single,High School,1
28,166836,709,338863,15,31,2,1,4059,Divorced,High School,0
68,123940,431,254690,6,27,8,0,4939,Divorced,High School,1
34,53494,341,490324,12,12,6,2,3109,Married,Bachelor,1
25,18373,388,264820,27,30,1,0,4082,Single,Master,1
52,158233,701,104616,29,13,1,2,4515,Divorced,High School,0
52,112532,595,391309,20,19,7,2,2798,Married,High School,1
50,107658,594,91231,18,17,8,1,3240,Single,PhD,0
76,138633,825,274458,14,28,5,1,1988,Divorced,Bachelor,1
22,115386,721,24623,2,5,5,0,3414,Divorced,Bachelor,0
59,42350,322,203747,9,31,4,2,1849,Married,Master,1
56,108008,442,495042,5,28,6,0,305,Single,Bachelor,1
75,109297,444,463298,20,1,6,3,3613,Single,PhD,1
58,40351,524,481840,26,22,3,0,2749,Divorced,PhD,1
45,103668,802,110228,29,18,9,4,4964,Divorced,Master,1
24,129585,403,431346,1,30,7,0,1135,Divorced,PhD,1
26,161377,338,187828,23,4,1,4,205,Single,High School,1
25,90353,497,364768,3,18,7,4,4591,Married,High School,1
29,80953,690,162364,6,33,5,4,3450,Married,PhD,1
51,72458,478,378929,5,9,5,3,3811,Single,Master,1
50,35358,747,353350,21,24,2,0,3622,Married,Bachelor,1
65,18267,799,74274,27,1,4,0,3599,Divorced,Master,1
72,97745,314,138541,5,10,6,3,2551,Married,Bachelor,1
40,104588,588,58947,1,30,7,2,4308,Married,PhD,1
79,53513,777,158606,17,14,5,1,309,Married,PhD,0
41,172164,530,199692,19,8,9,0,2708,Divorced,High School,0
54,26338,719,53874,14,22,3,1,1991,Single,Bachelor,1
52,146484,456,54708,12,18,1,3,271,Divorced,Master,1
61,22543,849,79553,10,8,4,2,3642,Single,PhD,1
57,120891,740,73344,20,34,9,2,4086,Single,Master,0
39,179568,396,316282,21,20,4,2,1822,Single,High School,1
44,75692,710,190374,18,8,2,3,3273,Married,Bachelor,1
52,59425,588,52638,24,27,5,4,4538,Married,Bachelor,1
18,53756,553,83249,27,6,3,4,4349,Single,PhD,1
52,33888,495,373009,11,15,9,1,520,Single,Bachelor,1
54,181807,821,7719,2,15,4,4,976,Married,PhD,1
64,62295,816,158962,25,32,6,4,3722,Divorced,High School,1
31,129352,417,475452,18,3,2,2,3551,Single,Bachelor,1
20,98042,458,434725,29,3,6,2,4105,Divorced,PhD,1
18,100999,527,47534,25,38,3,1,2773,Married,Master,0
22,32955,515,97241,7,39,9,0,2552,Single,PhD,0
43,52841,314,417003,24,16,2,1,2832,Divorced,Bachelor,1
72,85640,456,131209,15,36,9,1,3907,Divorced,High School,1
31,180983,560,447061,11,38,5,3,152,Divorced,Bachelor,0
56,153429,456,194004,18,28,8,3,2964,Married,Bachelor,1
44,178551,346,97124,23,35,2,1,2916,Married,PhD,1
26,76476,623,96659,12,37,6,1,2800,Divorced,Master,0
32,59811,429,169134,6,38,3,1,1752,Divorced,Bachelor,1
32,182280,710,80713,20,36,5,4,2610,Married,Master,1
43,166222,394,223335,23,34,8,3,3875,Divorced,PhD,1
59,86180,591,493972,13,6,1,1,1104,Divorced,Master,1
77,189358,582,458677,20,26,5,2,2536,Married,PhD,0
30,127856,368,80418,16,27,3,2,4990,Divorced,High School,1
68,83450,310,464888,18,21,4,4,4199,Divorced,Master,1
49,167424,553,133232,10,13,2,4,3854,Divorced,Master,1
56,126888,849,433048,28,6,9,0,3494,Married,High School,0
66,125448,433,168038,23,36,3,0,1914,Divorced,Master,0
69,29397,322,470761,8,21,2,0,3072,Married,High School,1
78,187627,645,411203,18,4,9,4,1006,Married,Bachelor,1
49,193031,601,173383,21,1,7,4,406,Single,PhD,0
21,146800,662,298719,1,26,6,4,166,Single,High School,0
47,196589,695,330996,23,20,1,2,508,Divorced,Master,0
54,134180,517,263722,8,37,5,4,1661,Married,High School,0
40,81234,440,137079,29,14,3,2,3664,Single,Master,1
56,54954,509,207053,6,20,1,0,3489,Divorced,Bachelor,1
62,193352,759,81242,5,9,4,0,4858,Single,High School,0
32,94459,655,183589,15,22,2,0,680,Single,Bachelor,0
60,162851,623,34257,22,38,2,1,2524,Married,PhD,0
46,170538,432,485488,15,4,3,1,2120,Married,Master,1
53,183011,426,440423,2,0,8,3,4677,Single,Master,1
30,181342,405,149353,1,12,8,3,4357,Single,Bachelor,1
49,74163,677,328390,23,20,7,3,1363,Married,PhD,1
24,66934,350,268579,23,25,6,1,1331,Divorced,High School,1
76,178379,328,234947,26,20,9,1,2292,Married,High School,1
68,69098,761,236758,11,17,4,3,1538,Single,Master,1
39,20486,595,96357,10,36,1,3,3408,Divorced,Bachelor,1
45,154407,596,162732,18,31,8,4,560,Single,Bachelor,0
19,101900,706,403300,18,35,7,3,1099,Divorced,High School,1
59,141020,704,480413,17,16,7,4,1903,Single,PhD,1
62,117795,645,411723,26,34,3,2,174,Divorced,PhD,1
79,157202,719,208667,8,10,4,1,2156,Divorced,High School,0
74,102508,481,88807,15,20,9,3,2230,Single,High School,1
70,133324,300,443755,8,25,6,1,4287,Divorced,Bachelor,1
23,75566,670,383097,17,3,5,1,4160,Married,PhD,1
45,42192,730,143563,12,33,3,1,3920,Single,High School,1
45,16062,608,263778,27,17,9,2,1497,Married,High School,1
61,99076,436,186264,8,39,5,0,3854,Single,Master,1
61,104780,501,478611,25,34,5,3,3171,Divorced,High School,1
37,167617,735,390941,14,28,4,0,1567,Divorced,High School,0
47,36689,612,331032,4,28,4,0,1151,Divorced,PhD,0
79,26174,416,78609,1,37,1,0,368,Single,Bachelor,1
28,103461,543,276221,1,20,7,1,4946,Married,PhD,1
75,141174,836,253512,19,12,9,4,42,Married,Bachelor,0
72,118033,374,258973,16,16,3,1,1907,Single,Master,1
45,24348,685,288097,14,8,2,1,3490,Single,High School,1
42,169786,509,475135,21,0,3,0,2535,Married,Master,0
56,53102,774,381826,16,1,1,1,4173,Married,Bachelor,1
79,89460,717,335033,5,28,6,0,2873,Married,PhD,0
50,117634,646,159893,9,32,7,4,1824,Married,PhD,0
18,104930,828,435783,26,9,2,3,1293,Single,Master,1
74,21801,478,120374,28,39,8,0,4769,Single,Bachelor,1
44,118150,481,29860,2,20,6,4,4796,Divorced,Master,1
79,194208,324,157267,18,27,4,3,4854,Married,Master,1
74,169697,479,82475,6,10,5,2,3386,Divorced,High School,1
69,190333,800,489090,9,33,8,0,2972,Single,Master,0
30,16542,460,354410,1,7,3,0,3922,Single,High School,1
58,36677,476,157499,9,21,3,2,4997,Divorced,High School,1
20,192804,584,367876,25,7,4,2,992,Married,PhD,0
56,196415,362,294227,16,14,1,0,2386,Married,High School,0
23,54081,455,223118,13,16,9,2,2240,Married,High School,1
25,108105,768,324516,9,22,8,1,1476,Married,PhD,1
44,34065,348,128786,21,23,8,3,3407,Divorced,Master,1
26,103092,383,442280,13,18,6,3,389,Divorced,Bachelor,1
79,69693,660,12813,9,4,7,3,999,Single,Bachelor,1
54,41962,447,36598,11,31,6,1,4620,Married,Bachelor,1
50,43295,641,262951,4,0,9,2,1855,Married,Master,1
68,28807,775,98106,2,22,3,4,658,Married,High School,1
59,188420,362,294226,29,36,3,2,2763,Divorced,Bachelor,1
61,172504,659,296385,6,7,3,0,3663,Married,Master,0
41,186334,626,232286,14,12,3,3,4986,Divorced,High School,0
32,183152,440,442785,4,7,9,2,1481,Married,PhD,1
76,147396,514,16745,6,22,4,4,3731,Married,Bachelor,0
71,106267,734,293173,19,0,7,0,451,Single,High School,0
49,181981,617,149097,6,23,9,1,2475,Married,Bachelor,0
49,34870,331,237732,2,34,7,1,3222,Married,Bachelor,1
41,180650,584,390539,18,23,9,4,1537,Single,Bachelor,0
58,41790,604,150360,13,16,3,0,3093,Divorced,High School,1
69,133874,728,94186,9,4,4,3,882,Divorced,Master,0
66,40289,776,404756,23,19,8,2,4408,Married,High School,1
79,30485,585,364912,19,20,6,0,4068,Divorced,Bachelor,1
66,59482,443,218030,13,39,5,1,4935,Married,High School,1
75,101188,723,204950,11,30,4,4,2566,Single,PhD,0
69,19748,318,46846,1,35,8,4,3277,Single,Master,1
29,155507,317,499364,24,10,1,2,374,Married,High School,1
79,18709,670,343076,22,14,9,4,4546,Single,PhD,1
56,138961,474,153554,7,18,1,4,3697,Single,Master,1
19,45355,493,290555,25,6,8,0,3062,Married,PhD,1
20,159188,801,449191,21,27,4,3,4690,Married,Master,0
66,171542,412,458761,15,4,9,2,3250,Single,High School,1
54,188416,413,345941,1,4,5,0,4595,Divorced,PhD,1
66,57918,521,319451,12,29,3,3,4559,Divorced,Bachelor,1
73,67224,563,401309,26,31,9,0,112,Married,PhD,0
34,54298,354,475474,7,7,9,0,3197,Married,Master,1
76,95219,757,289186,15,9,4,4,2378,Divorced,High School,1
66,76629,461,57930,21,37,4,3,1924,Single,Master,1
19,81040,679,253656,19,31,8,2,139,Divorced,PhD,1
19,43016,386,442629,28,27,2,2,1424,Divorced,PhD,1
45,38960,354,249459,29,16,9,3,2949,Divorced,Bachelor,1
71,48591,775,229695,25,30,6,4,3168,Divorced,High School,1
40,118333,477,365027,1,7,9,1,516,Married,High School,1
54,129821,690,300900,17,39,8,0,2616,Married,PhD,0
49,51395,648,58268,17,24,7,4,887,Single,High School,0
50,144695,307,437430,3,8,1,3,3104,Single,Bachelor,1
18,168772,612,217943,12,1,3,0,49,Single,Master,0
36,49620,742,263916,6,14,2,2,3951,Single,High School,1
79,143148,627,426818,26,2,5,1,3560,Divorced,PhD,0
19,35559,353,189403,11,35,5,2,18,Married,Master,1
70,108396,538,53901,3,3,5,3,4821,Married,Master,1
61,36732,528,367130,8,13,4,0,1473,Single,Bachelor,0
43,106362,350,199488,14,24,5,3,4061,Single,PhD,1
49,176426,563,168268,14,9,3,0,2606,Divorced,High School,0
23,28843,717,395530,10,20,1,4,451,Divorced,PhD,1
49,129065,395,272770,2,35,5,1,3765,Single,Master,1
72,86726,387,143496,14,11,9,4,2438,Married,PhD,1
21,32640,377,280001,9,26,9,4,4310,Married,High School,1
72,67528,587,246531,3,39,4,3,1549,Married,High School,1
28,53413,419,251693,21,1,3,1,3474,Single,Bachelor,1
73,67638,790,418198,26,12,1,0,127,Married,High School,0
76,198808,751,475177,8,31,2,0,4855,Divorced,High School,0
34,125133,799,400196,16,30,8,2,2761,Divorced,PhD,1
55,121357,464,184362,2,15,1,0,4456,Single,PhD,1
41,165159,481,31431,6,31,8,3,4664,Divorced,Master,1
22,187502,768,352120,28,31,7,4,1415,Single,Bachelor,0
69,170576,306,243360,21,33,8,4,201,Married,PhD,1
51,153186,629,349855,29,10,6,4,2369,Married,High School,0
23,93859,450,31385,26,9,9,1,517,Married,Master,1
39,114657,384,436374,25,14,3,0,1341,Divorced,PhD,1
28,157047,446,421235,12,16,4,3,4776,Single,Bachelor,1
65,26023,680,285783,5,39,6,1,1988,Married,Bachelor,1
33,36447,847,90530,2,17,8,2,3545,Single,Master,1
50,140899,584,235983,16,8,5,3,4520,Married,Master,0
26,38959,381,288707,5,24,3,3,3802,Divorced,Master,1
77,81203,813,437557,15,39,6,3,3275,Divorced,Master,1
76,134156,822,382816,12,13,4,4,3654,Single,Master,0
23,175775,685,403992,4,24,9,3,2434,Divorced,High School,0
33,24337,770,434660,15,21,3,0,4873,Divorced,High School,1
46,61427,418,467132,11,29,4,3,207,Single,PhD,1
20,76529,695,406927,16,19,7,4,2633,Married,Bachelor,1
37,117023,831,210390,23,20,7,3,4117,Divorced,High School,1
77,99665,560,350114,6,31,4,2,153,Single,High School,1
76,120787,555,248373,14,20,6,2,3366,Divorced,High School,0
53,177993,525,352697,18,34,3,4,4314,Divorced,PhD,1
36,48307,352,166779,12,31,6,0,4764,Divorced,Master,1
43,173427,799,175182,27,29,2,0,1518,Divorced,PhD,0
20,142016,805,197860,11,38,8,1,2600,Single,Bachelor,0
36,19835,663,87879,13,11,2,4,2195,Single,Bachelor,1
37,35159,579,437043,21,17,7,3,4498,Single,Bachelor,1
49,193677,457,243260,23,20,9,4,4691,Divorced,Bachelor,1
24,136790,358,403871,11,12,1,1,3554,Divorced,High School,1
69,120616,427,312003,23,20,8,4,2414,Divorced,High School,1
58,184160,414,451841,16,7,7,4,2849,Single,PhD,1
50,93752,508,319242,15,39,6,1,1742,Divorced,Master,1
57,70284,825,151323,21,6,6,0,1306,Married,Bachelor,0
56,72043,820,127413,28,22,6,3,3849,Divorced,PhD,1
35,181619,536,267670,15,31,9,1,4168,Married,High School,1
57,112007,580,335904,25,10,2,2,4576,Divorced,High School,0
18,97844,658,52837,4,21,1,0,4655,Single,Master,1
28,42532,500,265550,11,21,6,2,4840,Divorced,Master,1
45,180421,577,278680,19,24,8,0,4195,Married,Master,0
74,137402,534,33541,15,21,3,3,2555,Married,PhD,1
42,133012,793,84083,4,27,1,3,2305,Divorced,High School,1
67,191517,303,449243,21,28,9,4,4508,Married,High School,1
40,151785,741,39531,13,12,1,2,1088,Married,Master,1
48,71178,328,275856,22,17,3,0,2642,Single,Bachelor,1
47,64407,408,371245,19,1,8,3,1177,Divorced,Master,1
59,65990,374,332599,2,28,3,1,4916,Divorced,PhD,1
52,144473,445,79744,14,20,4,3,4757,Divorced,Master,1
24,73141,427,257859,29,14,8,1,2994,Married,Master,1
77,169865,341,134749,4,26,1,0,559,Divorced,PhD,1
33,71570,655,272253,16,30,6,3,2964,Divorced,Master,1
43,183964,340,316412,21,14,1,3,1271,Single,High School,1
65,16015,333,236809,20,22,1,0,1813,Single,Bachelor,1
74,76813,316,321759,14,23,8,3,2915,Single,Master,1
69,42712,452,87503,27,12,4,1,609,Married,PhD,1
77,115497,677,259346,29,21,1,3,2461,Divorced,Bachelor,0
66,154487,641,427975,15,36,7,2,4120,Single,PhD,0
19,127816,326,90708,28,32,5,4,283,Single,Bachelor,1
18,143778,586,196184,3,2,5,1,2928,Single,Bachelor,1
65,77292,467,107471,8,18,1,2,4396,Divorced,Master,1
79,38833,567,259225,16,22,6,0,1091,Divorced,High School,0
29,150230,754,162661,10,28,9,1,816,Divorced,Master,0
22,35309,700,166087,4,29,9,4,82,Married,PhD,1
54,21970,775,165081,18,38,8,4,1920,Married,PhD,1
49,87474,429,350453,2,24,5,0,3491,Single,Bachelor,1
76,61540,662,393590,17,36,1,0,3144,Divorced,Bachelor,1
72,166456,591,198118,13,7,9,1,2093,Single,High School,0
26,33017,670,373805,4,15,1,3,4713,Divorced,Master,1
58,90880,328,162215,26,7,8,0,175,Divorced,PhD,1
52,120570,448,11154,25,0,5,3,2704,Divorced,Bachelor,1
36,23702,595,157876,11,4,3,2,4937,Married,High School,1
65,146456,310,439904,7,2,7,4,369,Married,PhD,1
33,15404,811,69288,12,0,7,3,1818,Divorced,Bachelor,1
20,187015,412,56195,10,3,9,4,2101,Single,PhD,1
37,193998,486,287725,7,39,7,3,4785,Divorced,High School,1
41,175261,526,450864,13,34,3,2,3490,Divorced,High School,0
71,27763,609,297231,7,31,1,0,1779,Single,PhD,1
73,164456,397,186002,24,33,8,2,1364,Divorced,Master,1
50,113142,354,169053,17,24,3,0,4462,Single,PhD,1
41,155932,705,74298,10,9,8,0,3342,Married,Bachelor,0
69,95642,368,313311,29,20,8,4,4739,Married,Master,1
28,65612,611,211376,10,38,5,2,3676,Single,Bachelor,1
66,38574,588,441624,24,26,1,3,2426,Married,PhD,1
25,38524,847,44499,4,26,7,2,72,Married,Master,1
53,25916,447,392960,20,1,5,4,2962,Single,Bachelor,1
55,19809,766,450485,4,12,8,0,859,Married,PhD,1
57,178273,543,174631,22,8,9,4,3856,Divorced,PhD,1
37,199402,790,250198,7,35,7,1,4138,Divorced,Master,0
79,159528,806,472535,22,21,7,1,2424,Single,PhD,0
52,136288,664,247997,1,25,1,3,1064,Married,High School,0
65,53765,781,493533,12,11,4,4,2217,Divorced,Bachelor,1
79,180888,500,101347,24,16,2,3,4017,Divorced,Bachelor,0
42,60106,453,315931,13,13,2,3,2259,Married,PhD,1
52,68932,749,302632,10,13,2,1,3751,Married,PhD,1
42,163172,800,341585,15,33,4,3,2086,Divorced,High School,0
46,72091,372,210735,27,19,1,1,368,Divorced,Master,1
35,36949,595,27431,13,10,4,0,2804,Single,PhD,0
63,52744,316,328825,23,15,2,4,150,Single,PhD,1
35,191615,516,199555,22,30,5,3,1134,Divorced,PhD,0
19,123319,360,127720,22,5,3,1,2784,Single,PhD,1
71,107193,341,54153,21,18,8,2,4164,Divorced,Bachelor,1
52,51187,324,273512,22,36,4,3,2346,Divorced,PhD,1
33,153311,338,425640,28,3,1,0,4897,Single,Bachelor,1
78,139454,430,379504,9,3,1,0,2250,Single,PhD,1
58,29489,797,181076,26,19,3,2,60,Married,Master,1
53,76877,528,482085,9,9,9,1,3010,Married,High School,1
50,189197,407,224724,15,23,7,3,3901,Married,Master,1
21,64922,471,379899,10,34,2,1,1337,Divorced,PhD,1
50,109074,734,61985,24,25,9,0,1184,Single,PhD,0
31,178121,777,317213,26,36,2,1,4426,Divorced,PhD,0
38,52131,401,319470,25,37,3,0,1551,Single,Master,1
65,189016,823,113737,29,20,2,1,4433,Divorced,PhD,0
37,130765,574,217133,10,39,3,2,1629,Married,Master,1
73,88963,343,159470,8,38,6,4,1327,Married,Bachelor,1
25,121884,316,234465,24,20,9,2,1526,Married,High School,1
24,140917,629,55861,16,9,9,2,1673,Divorced,High School,0
20,39285,796,343041,17,37,7,4,1361,Single,Master,1
34,52626,311,217977,26,3,3,4,1573,Single,Bachelor,1
50,188880,617,132118,27,19,4,3,2686,Married,Master,1
65,199943,515,335721,5,16,6,3,4370,Married,Bachelor,0
29,34198,638,201713,4,6,5,2,2366,Married,PhD,1
76,165830,380,14078,18,3,2,2,3757,Married,Bachelor,1
68,30254,784,423219,24,28,6,0,2434,Single,Bachelor,1
39,59238,673,329912,19,13,3,0,1993,Divorced,Bachelor,0
72,16252,499,56047,4,2,8,3,869,Divorced,High School,1
39,54764,836,338770,28,23,2,3,1014,Divorced,Bachelor,1
63,92709,765,324804,7,36,1,0,1911,Divorced,PhD,0
47,183513,388,240458,10,15,9,0,602,Married,PhD,0
55,68682,567,448002,25,3,3,1,3821,Married,PhD,1
55,74494,788,400141,18,23,1,1,690,Married,Bachelor,1
62,96317,837,220048,19,33,7,0,493,Divorced,Master,0
68,80215,346,241293,4,29,5,1,489,Married,Master,1
71,93587,587,122832,10,17,5,4,2556,Married,PhD,1
25,21949,315,397550,1,18,1,3,4485,Single,High School,1
44,70393,700,130150,23,30,9,3,294,Single,Master,0
44,153013,385,162087,18,18,7,0,4027,Married,Bachelor,0
51,40934,549,38320,5,18,8,2,2843,Single,Master,1
38,169458,690,332025,15,21,9,0,2912,Single,PhD,0
47,90745,634,95827,17,23,6,1,1717,Married,High School,0
50,109456,818,369359,3,11,5,2,2596,Married,Master,1
45,68413,436,424505,12,29,6,1,4744,Married,Master,1
64,112239,797,264931,2,37,2,4,1873,Married,PhD,0
50,57318,776,401605,1,30,4,1,4663,Divorced,High School,1
22,85390,522,423899,23,35,3,4,3258,Divorced,High School,1
77,198401,671,411845,21,18,7,4,2817,Married,PhD,1
